,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
Timepoint,3.39282E+12,3.39282E+12,1,3.35E+40,16.89128511,3.96E-05
Treatment,2.54966E+13,2.54966E+13,1,3.35E+40,126.9358741,1.92E-29
Flow,56817677686,56817677686,1,3.35E+40,0.282869119,0.594826832
Timepoint:Treatment,1.63474E+13,1.63474E+13,1,3.35E+40,81.38630994,1.86E-19
Timepoint:Flow,1.20132E+11,1.20132E+11,1,3.35E+40,0.598079628,0.439311674
Treatment:Flow,8.52796E+11,8.52796E+11,1,3.35E+40,4.245680876,0.039350288
Timepoint:Treatment:Flow,31205119108,31205119108,1,3.35E+40,0.155355954,0.693468676
