"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"92","TP1","AA","Protective","T1","Low","#1","1",2,47,10
"93","TP1","AA","Protective","T1","Low","#1","1",3,48,10
"94","TP1","AA","Protective","T1","Low","#1","1",4,38,10
"95","TP1","AA","Protective","T1","Low","#1","1",5,45,10
"96","TP1","AA","Protective","T1","Low","#1","2",1,38,10
"97","TP1","AA","Protective","T1","Low","#1","2",2,46,10
"98","TP1","AA","Protective","T1","Low","#1","2",3,46,10
"99","TP1","AA","Protective","T1","Low","#1","2",4,38,10
"100","TP1","AA","Protective","T1","Low","#1","2",5,49,10
"101","TP1","AA","Protective","T1","Low","#1","3",1,33,10
"102","TP1","AA","Protective","T1","Low","#1","3",2,25,10
"103","TP1","AA","Protective","T1","Low","#1","3",3,29,10
"104","TP1","AA","Protective","T1","Low","#1","3",4,36,10
"105","TP1","AA","Protective","T1","Low","#1","3",5,41,10
"106","TP1","AA","Protective","T1","Low","#1","4",1,31,10
"107","TP1","AA","Protective","T1","Low","#1","4",2,38,10
"108","TP1","AA","Protective","T1","Low","#1","4",3,28,10
"109","TP1","AA","Protective","T1","Low","#1","4",4,31,10
"110","TP1","AA","Protective","T1","Low","#1","4",5,28,10
"111","TP1","AA","Protective","T1","Low","#1","5",1,34,10
"112","TP1","AA","Protective","T1","Low","#1","5",2,34,10
"113","TP1","AA","Protective","T1","Low","#1","5",3,22,10
"114","TP1","AA","Protective","T1","Low","#1","5",4,26,10
"115","TP1","AA","Protective","T1","Low","#1","5",5,28,10
"116","TP1","AA","Protective","T1","Low","#1","6",1,36,10
"117","TP1","AA","Protective","T1","Low","#1","6",2,26,10
"118","TP1","AA","Protective","T1","Low","#1","6",3,35,10
"119","TP1","AA","Protective","T1","Low","#1","6",4,26,10
"120","TP1","AA","Protective","T1","Low","#1","6",5,31,10
"121","TP1","AA","Protective","T1","Low","#3","1",1,29,10
"122","TP1","AA","Protective","T1","Low","#3","1",2,25,10
"123","TP1","AA","Protective","T1","Low","#3","1",3,28,10
"124","TP1","AA","Protective","T1","Low","#3","1",4,26,10
"125","TP1","AA","Protective","T1","Low","#3","1",5,30,10
"126","TP1","AA","Protective","T1","Low","#3","2",1,29,10
"127","TP1","AA","Protective","T1","Low","#3","2",2,18,10
"128","TP1","AA","Protective","T1","Low","#3","2",3,24,10
"129","TP1","AA","Protective","T1","Low","#3","2",4,25,10
"130","TP1","AA","Protective","T1","Low","#3","2",5,29,10
"131","TP1","AA","Protective","T1","Low","#3","3",1,26,10
"132","TP1","AA","Protective","T1","Low","#3","3",2,31,10
"133","TP1","AA","Protective","T1","Low","#3","3",3,30,10
"134","TP1","AA","Protective","T1","Low","#3","3",4,27,10
"135","TP1","AA","Protective","T1","Low","#3","3",5,27,10
"136","TP1","AA","Protective","T1","Low","#3","4",1,27,10
"137","TP1","AA","Protective","T1","Low","#3","4",2,29,10
"138","TP1","AA","Protective","T1","Low","#3","4",3,28,10
"139","TP1","AA","Protective","T1","Low","#3","4",4,31,10
"140","TP1","AA","Protective","T1","Low","#3","4",5,39,10
"141","TP1","AA","Protective","T1","Low","#3","5",1,37,10
"142","TP1","AA","Protective","T1","Low","#3","5",2,32,10
"143","TP1","AA","Protective","T1","Low","#3","5",3,16,10
"144","TP1","AA","Protective","T1","Low","#3","5",4,26,10
"145","TP1","AA","Protective","T1","Low","#3","5",5,34,10
"146","TP1","AA","Protective","T1","Low","#3","6",1,12,10
"147","TP1","AA","Protective","T1","Low","#3","6",2,25,10
"148","TP1","AA","Protective","T1","Low","#3","6",3,20,10
"149","TP1","AA","Protective","T1","Low","#3","6",4,33,10
"150","TP1","AA","Protective","T1","Low","#3","6",5,25,10
"151","TP1","AA","Single","T1","High","#1","1",1,22,10
"152","TP1","AA","Single","T1","High","#1","1",2,16,10
"153","TP1","AA","Single","T1","High","#1","1",3,26,10
"154","TP1","AA","Single","T1","High","#1","1",4,15,10
"155","TP1","AA","Single","T1","High","#1","1",5,17,10
"156","TP1","AA","Single","T1","High","#1","2",1,11,10
"157","TP1","AA","Single","T1","High","#1","2",2,11,10
"158","TP1","AA","Single","T1","High","#1","2",3,21,10
"159","TP1","AA","Single","T1","High","#1","2",4,16,10
"160","TP1","AA","Single","T1","High","#1","2",5,19,10
"161","TP1","AA","Single","T1","High","#1","3",1,19,10
"162","TP1","AA","Single","T1","High","#1","3",2,19,10
"163","TP1","AA","Single","T1","High","#1","3",3,9,10
"164","TP1","AA","Single","T1","High","#1","3",4,13,10
"165","TP1","AA","Single","T1","High","#1","3",5,17,10
"166","TP1","AA","Single","T1","High","#1","4",1,21,10
"167","TP1","AA","Single","T1","High","#1","4",2,17,10
"168","TP1","AA","Single","T1","High","#1","4",3,10,10
"169","TP1","AA","Single","T1","High","#1","4",4,13,10
"170","TP1","AA","Single","T1","High","#1","4",5,21,10
"171","TP1","AA","Single","T1","High","#1","5",1,12,10
"172","TP1","AA","Single","T1","High","#1","5",2,19,10
"173","TP1","AA","Single","T1","High","#1","5",3,19,10
"174","TP1","AA","Single","T1","High","#1","5",4,11,10
"175","TP1","AA","Single","T1","High","#1","5",5,17,10
"176","TP1","AA","Single","T1","High","#1","6",1,23,10
"177","TP1","AA","Single","T1","High","#1","6",2,9,10
"178","TP1","AA","Single","T1","High","#1","6",3,15,10
"179","TP1","AA","Single","T1","High","#1","6",4,18,10
"180","TP1","AA","Single","T1","High","#1","6",5,15,10
"181","TP1","AA","Single","T1","High","#3","1",1,16,10
"182","TP1","AA","Single","T1","High","#3","1",2,21,10
"183","TP1","AA","Single","T1","High","#3","1",3,25,10
"184","TP1","AA","Single","T1","High","#3","1",4,19,10
"185","TP1","AA","Single","T1","High","#3","1",5,18,10
"186","TP1","AA","Single","T1","High","#3","2",1,17,10
"187","TP1","AA","Single","T1","High","#3","2",2,17,10
"188","TP1","AA","Single","T1","High","#3","2",3,29,10
"189","TP1","AA","Single","T1","High","#3","2",4,26,10
"190","TP1","AA","Single","T1","High","#3","2",5,20,10
"191","TP1","AA","Single","T1","High","#3","3",1,20,10
"192","TP1","AA","Single","T1","High","#3","3",2,20,10
"193","TP1","AA","Single","T1","High","#3","3",3,18,10
"194","TP1","AA","Single","T1","High","#3","3",4,24,10
"195","TP1","AA","Single","T1","High","#3","3",5,19,10
"196","TP1","AA","Single","T1","High","#3","4",1,27,10
"197","TP1","AA","Single","T1","High","#3","4",2,5,10
"198","TP1","AA","Single","T1","High","#3","4",3,9,10
"199","TP1","AA","Single","T1","High","#3","4",4,18,10
"200","TP1","AA","Single","T1","High","#3","4",5,27,10
"201","TP1","AA","Single","T1","High","#3","5",1,20,10
"202","TP1","AA","Single","T1","High","#3","5",2,21,10
"203","TP1","AA","Single","T1","High","#3","5",3,23,10
"204","TP1","AA","Single","T1","High","#3","5",4,18,10
"205","TP1","AA","Single","T1","High","#3","5",5,25,10
"206","TP1","AA","Single","T1","High","#3","6",1,22,10
"207","TP1","AA","Single","T1","High","#3","6",2,20,10
"208","TP1","AA","Single","T1","High","#3","6",3,19,10
"209","TP1","AA","Single","T1","High","#3","6",4,19,10
