"","Time.point","Treatment","Tank","Flow","Coral","H_run","n","Count"
"118",1,"AMB",1,"High",2,4,1,5
"119",1,"AMB",1,"High",2,4,2,17
"120",1,"AMB",1,"High",2,4,3,7
"121",1,"AMB",1,"High",2,5,1,14
"122",1,"AMB",1,"High",2,5,2,7
"123",1,"AMB",1,"High",2,5,3,12
"124",1,"AMB",1,"High",2,6,1,17
"125",1,"AMB",1,"High",2,6,2,16
"126",1,"AMB",1,"High",2,6,3,10
"127",1,"AMB",2,"High",2,1,1,10
"128",1,"AMB",2,"High",2,1,2,8
"129",1,"AMB",2,"High",2,1,3,16
"130",1,"AMB",2,"High",2,2,1,9
"131",1,"AMB",2,"High",2,2,2,12
"132",1,"AMB",2,"High",2,2,3,9
"133",1,"AMB",2,"High",2,3,1,12
"134",1,"AMB",2,"High",2,3,2,13
"135",1,"AMB",2,"High",2,3,3,10
"136",1,"AMB",2,"High",2,4,1,13
"137",1,"AMB",2,"High",2,4,2,11
"138",1,"AMB",2,"High",2,4,3,11
"139",1,"AMB",2,"High",2,5,1,15
"140",1,"AMB",2,"High",2,5,2,14
"141",1,"AMB",2,"High",2,5,3,14
"142",1,"AMB",2,"High",2,6,1,8
"143",1,"AMB",2,"High",2,6,2,11
"144",1,"AMB",2,"High",2,6,3,11
"145",1,"HT",2,"Low",3,1,1,5
"146",1,"HT",2,"Low",3,1,2,11
"147",1,"HT",2,"Low",3,1,3,6
"148",1,"HT",2,"Low",3,2,1,11
"149",1,"HT",2,"Low",3,2,2,8
"150",1,"HT",2,"Low",3,2,3,11
"151",1,"HT",2,"Low",3,3,1,12
"152",1,"HT",2,"Low",3,3,2,8
"153",1,"HT",2,"Low",3,3,3,8
"154",1,"HT",2,"Low",3,4,1,11
"155",1,"HT",2,"Low",3,4,2,8
"156",1,"HT",2,"Low",3,4,3,8
"157",1,"HT",2,"Low",3,5,1,7
"158",1,"HT",2,"Low",3,5,2,10
"159",1,"HT",2,"Low",3,5,3,9
"160",1,"HT",2,"Low",3,6,1,14
"161",1,"HT",2,"Low",3,6,2,10
"162",1,"HT",2,"Low",3,6,3,10
"163",1,"HT",1,"High",3,1,1,10
"164",1,"HT",1,"High",3,1,2,15
"165",1,"HT",1,"High",3,1,3,8
"166",1,"HT",1,"High",3,2,1,19
"167",1,"HT",1,"High",3,2,2,24
"168",1,"HT",1,"High",3,2,3,21
"169",1,"HT",1,"High",3,3,1,5
"170",1,"HT",1,"High",3,3,2,6
"171",1,"HT",1,"High",3,3,3,8
"172",1,"HT",1,"High",3,4,1,8
"173",1,"HT",1,"High",3,4,2,10
"174",1,"HT",1,"High",3,4,3,10
"175",1,"HT",1,"High",3,5,1,3
"176",1,"HT",1,"High",3,5,2,7
"177",1,"HT",1,"High",3,5,3,7
"178",1,"HT",1,"High",3,6,1,8
"179",1,"HT",1,"High",3,6,2,6
"180",1,"HT",1,"High",3,6,3,4
"181",1,"HT",2,"High",1,1,1,17
"182",1,"HT",2,"High",1,1,2,20
"183",1,"HT",2,"High",1,1,3,10
"184",1,"HT",2,"High",1,2,1,32
"185",1,"HT",2,"High",1,2,2,19
"186",1,"HT",2,"High",1,2,3,17
"187",1,"HT",2,"High",1,3,1,11
"188",1,"HT",2,"High",1,3,2,7
"189",1,"HT",2,"High",1,3,3,7
"190",1,"HT",2,"High",1,4,1,9
"191",1,"HT",2,"High",1,4,2,17
"192",1,"HT",2,"High",1,4,3,5
"193",1,"HT",2,"High",1,5,1,15
"194",1,"HT",2,"High",1,5,2,17
"195",1,"HT",2,"High",1,5,3,12
"196",1,"HT",2,"High",1,6,1,24
"197",1,"HT",2,"High",1,6,2,19
"198",1,"HT",2,"High",1,6,3,16
"199",1,"AMB",2,"Low",1,1,1,17
"200",1,"AMB",2,"Low",1,1,2,18
"201",1,"AMB",2,"Low",1,1,3,19
"202",1,"AMB",2,"Low",1,2,1,14
"203",1,"AMB",2,"Low",1,2,2,16
"204",1,"AMB",2,"Low",1,2,3,13
"205",1,"AMB",2,"Low",1,3,1,20
"206",1,"AMB",2,"Low",1,3,2,18
"207",1,"AMB",2,"Low",1,3,3,22
"208",1,"AMB",2,"Low",1,4,1,13
"209",1,"AMB",2,"Low",1,4,2,17
"210",1,"AMB",2,"Low",1,4,3,12
"211",1,"AMB",2,"Low",1,5,1,16
"212",1,"AMB",2,"Low",1,5,2,12
"213",1,"AMB",2,"Low",1,5,3,21
"214",1,"AMB",2,"Low",1,6,1,14
"215",1,"AMB",2,"Low",1,6,2,21
"216",1,"AMB",2,"Low",1,6,3,17
"217",1,"HT",2,"Low",1,1,1,16
"218",1,"HT",2,"Low",1,1,2,20
"219",1,"HT",2,"Low",1,1,3,9
"220",1,"HT",2,"Low",1,2,1,6
"221",1,"HT",2,"Low",1,2,2,20
"222",1,"HT",2,"Low",1,2,3,13
"223",1,"HT",2,"Low",1,3,1,8
"224",1,"HT",2,"Low",1,3,2,14
"225",1,"HT",2,"Low",1,3,3,17
"226",1,"HT",2,"Low",1,4,1,10
"227",1,"HT",2,"Low",1,4,2,21
"228",1,"HT",2,"Low",1,4,3,15
"229",1,"HT",2,"Low",1,5,1,15
"230",1,"HT",2,"Low",1,5,2,16
"231",1,"HT",2,"Low",1,5,3,9
"232",1,"HT",2,"Low",1,6,1,16
"233",1,"HT",2,"Low",1,6,2,16
"234",1,"HT",2,"Low",1,6,3,12
"235",1,"HT",1,"High",2,1,1,15
"236",1,"HT",1,"High",2,1,2,12
"237",1,"HT",1,"High",2,1,3,13
"238",1,"HT",1,"High",2,2,1,21
"239",1,"HT",1,"High",2,2,2,15
"240",1,"HT",1,"High",2,2,3,13
"241",1,"HT",1,"High",2,3,1,14
"242",1,"HT",1,"High",2,3,2,13
"243",1,"HT",1,"High",2,3,3,15
"244",1,"HT",1,"High",2,4,1,28
"245",1,"HT",1,"High",2,4,2,16
"246",1,"HT",1,"High",2,4,3,21
"247",1,"HT",1,"High",2,5,1,13
"248",1,"HT",1,"High",2,5,2,12
"249",1,"HT",1,"High",2,5,3,13
"250",1,"HT",1,"High",2,6,1,9
"251",1,"HT",1,"High",2,6,2,25
"252",1,"HT",1,"High",2,6,3,12
"253",1,"HT",2,"High",2,1,1,9
"254",1,"HT",2,"High",2,1,2,8
"255",1,"HT",2,"High",2,1,3,7
"256",1,"HT",2,"High",2,2,1,6
"257",1,"HT",2,"High",2,2,2,8
"258",1,"HT",2,"High",2,2,3,8
"259",1,"HT",2,"High",2,3,1,6
"260",1,"HT",2,"High",2,3,2,11
"261",1,"HT",2,"High",2,3,3,7
"262",1,"HT",2,"High",2,4,1,14
"263",1,"HT",2,"High",2,4,2,10
"264",1,"HT",2,"High",2,4,3,8
"265",1,"HT",2,"High",2,5,1,8
"266",1,"HT",2,"High",2,5,2,11
"267",1,"HT",2,"High",2,5,3,9
"268",1,"HT",2,"High",2,6,1,8
"269",1,"HT",2,"High",2,6,2,12
"270",1,"HT",2,"High",2,6,3,11
"271",1,"HT",2,"High",3,1,1,7
"272",1,"HT",2,"High",3,1,2,14
"273",1,"HT",2,"High",3,1,3,14
"274",1,"HT",2,"High",3,2,1,19
"275",1,"HT",2,"High",3,2,2,14
"276",1,"HT",2,"High",3,2,3,13
"277",1,"HT",2,"High",3,3,1,13
"278",1,"HT",2,"High",3,3,2,20
"279",1,"HT",2,"High",3,3,3,13
"280",1,"HT",2,"High",3,4,1,14
"281",1,"HT",2,"High",3,4,2,12
"282",1,"HT",2,"High",3,4,3,15
"283",1,"HT",2,"High",3,5,1,7
"284",1,"HT",2,"High",3,5,2,13
"285",1,"HT",2,"High",3,5,3,8
"286",1,"HT",2,"High",3,6,1,20
"287",1,"HT",2,"High",3,6,2,9
"288",1,"HT",2,"High",3,6,3,10
"289",1,"HT",1,"High",1,1,1,13
"290",1,"HT",1,"High",1,1,2,11
"291",1,"HT",1,"High",1,1,3,8
"292",1,"HT",1,"High",1,2,1,13
"293",1,"HT",1,"High",1,2,2,5
"294",1,"HT",1,"High",1,2,3,5
"295",1,"HT",1,"High",1,3,1,7
"296",1,"HT",1,"High",1,3,2,9
"297",1,"HT",1,"High",1,3,3,8
"298",1,"HT",1,"High",1,4,1,7
"299",1,"HT",1,"High",1,4,2,6
"300",1,"HT",1,"High",1,4,3,7
"301",1,"HT",1,"High",1,5,1,11
"302",1,"HT",1,"High",1,5,2,8
"303",1,"HT",1,"High",1,5,3,6
"304",1,"HT",1,"High",1,6,1,5
"305",1,"HT",1,"High",1,6,2,6
"306",1,"HT",1,"High",1,6,3,6
"307",1,"AMB",2,"Low",2,1,1,5
"308",1,"AMB",2,"Low",2,1,2,8
"309",1,"AMB",2,"Low",2,1,3,13
"310",1,"AMB",2,"Low",2,2,1,5
"311",1,"AMB",2,"Low",2,2,2,4
"312",1,"AMB",2,"Low",2,2,3,4
"313",1,"AMB",2,"Low",2,3,1,20
"314",1,"AMB",2,"Low",2,3,2,19
"315",1,"AMB",2,"Low",2,3,3,22
"316",1,"AMB",2,"Low",2,4,1,14
"317",1,"AMB",2,"Low",2,4,2,14
"318",1,"AMB",2,"Low",2,4,3,13
"319",1,"AMB",2,"Low",2,5,1,13
"320",1,"AMB",2,"Low",2,5,2,15
"321",1,"AMB",2,"Low",2,5,3,13
"322",1,"AMB",2,"Low",2,6,1,12
"323",1,"AMB",2,"Low",2,6,2,8
"324",1,"AMB",2,"Low",2,6,3,10
"325",1,"HT",2,"Low",2,1,1,7
"326",1,"HT",2,"Low",2,1,2,8
"327",1,"HT",2,"Low",2,1,3,10
"328",1,"HT",2,"Low",2,2,1,6
"329",1,"HT",2,"Low",2,2,2,8
"330",1,"HT",2,"Low",2,2,3,6
"331",1,"HT",2,"Low",2,3,1,3
"332",1,"HT",2,"Low",2,3,2,5
"333",1,"HT",2,"Low",2,3,3,3
"334",1,"HT",2,"Low",2,4,1,6
"335",1,"HT",2,"Low",2,4,2,4
"336",1,"HT",2,"Low",2,4,3,5
"337",1,"HT",2,"Low",2,5,1,9
"338",1,"HT",2,"Low",2,5,2,8
"339",1,"HT",2,"Low",2,5,3,11
"340",1,"HT",2,"Low",2,6,1,10
"341",1,"HT",2,"Low",2,6,2,6
"342",1,"HT",2,"Low",2,6,3,9
"343",1,"HT",1,"Low",1,1,1,13
"344",1,"HT",1,"Low",1,1,2,8
"345",1,"HT",1,"Low",1,1,3,10
"346",1,"HT",1,"Low",1,2,1,8
"347",1,"HT",1,"Low",1,2,2,8
"348",1,"HT",1,"Low",1,2,3,7
"349",1,"HT",1,"Low",1,3,1,4
"350",1,"HT",1,"Low",1,3,2,14
"351",1,"HT",1,"Low",1,3,3,8
"352",1,"HT",1,"Low",1,4,1,6
"353",1,"HT",1,"Low",1,4,2,11
"354",1,"HT",1,"Low",1,4,3,11
"355",1,"HT",1,"Low",1,5,1,8
"356",1,"HT",1,"Low",1,5,2,11
"357",1,"HT",1,"Low",1,5,3,14
"358",1,"HT",1,"Low",1,6,1,13
"359",1,"HT",1,"Low",1,6,2,8
"360",1,"HT",1,"Low",1,6,3,8
"361",1,"AMB",2,"High",1,1,1,20
"362",1,"AMB",2,"High",1,1,2,29
"363",1,"AMB",2,"High",1,1,3,16
"364",1,"AMB",2,"High",1,2,1,31
"365",1,"AMB",2,"High",1,2,2,19
"366",1,"AMB",2,"High",1,2,3,21
"367",1,"AMB",2,"High",1,3,1,28
"368",1,"AMB",2,"High",1,3,2,16
"369",1,"AMB",2,"High",1,3,3,24
"370",1,"AMB",2,"High",1,4,1,22
"371",1,"AMB",2,"High",1,4,2,28
"372",1,"AMB",2,"High",1,4,3,21
"373",1,"AMB",2,"High",1,5,1,22
"374",1,"AMB",2,"High",1,5,2,33
"375",1,"AMB",2,"High",1,5,3,24
"376",1,"AMB",2,"High",1,6,1,22
"377",1,"AMB",2,"High",1,6,2,16
"378",1,"AMB",2,"High",1,6,3,15
"379",1,"AMB",2,"Low",3,1,1,16
"380",1,"AMB",2,"Low",3,1,2,15
"381",1,"AMB",2,"Low",3,1,3,14
"382",1,"AMB",2,"Low",3,2,1,17
"383",1,"AMB",2,"Low",3,2,2,14
"384",1,"AMB",2,"Low",3,2,3,10
"385",1,"AMB",2,"Low",3,3,1,13
"386",1,"AMB",2,"Low",3,3,2,14
"387",1,"AMB",2,"Low",3,3,3,13
"388",1,"AMB",2,"Low",3,4,1,14
"389",1,"AMB",2,"Low",3,4,2,16
"390",1,"AMB",2,"Low",3,4,3,14
"391",1,"AMB",2,"Low",3,5,1,12
"392",1,"AMB",2,"Low",3,5,2,18
"393",1,"AMB",2,"Low",3,5,3,15
"394",1,"AMB",2,"Low",3,6,1,13
"395",1,"AMB",2,"Low",3,6,2,12
"396",1,"AMB",2,"Low",3,6,3,17
"397",1,"HT",1,"Low",2,1,1,19
"398",1,"HT",1,"Low",2,1,2,14
"399",1,"HT",1,"Low",2,1,3,12
"400",1,"HT",1,"Low",2,2,1,16
"401",1,"HT",1,"Low",2,2,2,13
"402",1,"HT",1,"Low",2,2,3,11
"403",1,"HT",1,"Low",2,3,1,13
"404",1,"HT",1,"Low",2,3,2,14
"405",1,"HT",1,"Low",2,3,3,17
"406",1,"HT",1,"Low",2,4,1,16
"407",1,"HT",1,"Low",2,4,2,14
"408",1,"HT",1,"Low",2,4,3,12
"409",1,"HT",1,"Low",2,5,1,16
"410",1,"HT",1,"Low",2,5,2,14
"411",1,"HT",1,"Low",2,5,3,17
"412",1,"HT",1,"Low",2,6,1,11
"413",1,"HT",1,"Low",2,6,2,14
"414",1,"HT",1,"Low",2,6,3,11
"415",1,"HT",1,"Low",3,1,1,4
"416",1,"HT",1,"Low",3,1,2,5
"417",1,"HT",1,"Low",3,1,3,8
"418",1,"HT",1,"Low",3,2,1,10
"419",1,"HT",1,"Low",3,2,2,9
"420",1,"HT",1,"Low",3,2,3,7
"421",1,"HT",1,"Low",3,3,1,9
"422",1,"HT",1,"Low",3,3,2,6
"423",1,"HT",1,"Low",3,3,3,4
"424",1,"HT",1,"Low",3,4,1,13
"425",1,"HT",1,"Low",3,4,2,7
"426",1,"HT",1,"Low",3,4,3,9
"427",1,"HT",1,"Low",3,5,1,8
"428",1,"HT",1,"Low",3,5,2,7
"429",1,"HT",1,"Low",3,5,3,9
"430",1,"HT",1,"Low",3,6,1,5
"431",1,"HT",1,"Low",3,6,2,11
"432",1,"HT",1,"Low",3,6,3,10
"433",2,"HT",2,"High",1,1,1,4
"434",2,"HT",2,"High",1,1,2,5
"435",2,"HT",2,"High",1,1,3,6
"436",2,"HT",2,"High",1,2,1,7
"437",2,"HT",2,"High",1,2,2,6
"438",2,"HT",2,"High",1,2,3,8
"439",2,"HT",2,"High",1,3,1,4
"440",2,"HT",2,"High",1,3,2,6
"441",2,"HT",2,"High",1,3,3,3
"442",2,"HT",2,"High",1,4,1,7
"443",2,"HT",2,"High",1,4,2,7
"444",2,"HT",2,"High",1,4,3,11
"445",2,"HT",2,"High",1,5,1,4
"446",2,"HT",2,"High",1,5,2,4
"447",2,"HT",2,"High",1,5,3,3
"448",2,"HT",2,"High",1,6,1,4
"449",2,"HT",2,"High",1,6,2,7
"450",2,"HT",2,"High",1,6,3,4
"451",2,"HT",1,"High",2,1,1,2
"452",2,"HT",1,"High",2,1,2,4
"453",2,"HT",1,"High",2,1,3,3
"454",2,"HT",1,"High",2,2,1,2
"455",2,"HT",1,"High",2,2,2,1
"456",2,"HT",1,"High",2,2,3,3
"457",2,"HT",1,"High",2,3,1,2
"458",2,"HT",1,"High",2,3,2,2
"459",2,"HT",1,"High",2,3,3,1
"460",2,"HT",1,"High",2,4,1,3
"461",2,"HT",1,"High",2,4,2,3
"462",2,"HT",1,"High",2,4,3,2
"463",2,"HT",1,"High",2,5,1,5
"464",2,"HT",1,"High",2,5,2,4
"465",2,"HT",1,"High",2,5,3,4
"466",2,"HT",1,"High",2,6,1,4
"467",2,"HT",1,"High",2,6,2,2
"468",2,"HT",1,"High",2,6,3,2
"469",2,"HT",1,"High",1,1,1,6
"470",2,"HT",1,"High",1,1,2,3
"471",2,"HT",1,"High",1,1,3,5
"472",2,"HT",1,"High",1,2,1,4
"473",2,"HT",1,"High",1,2,2,7
"474",2,"HT",1,"High",1,2,3,5
"475",2,"HT",1,"High",1,3,1,6
"476",2,"HT",1,"High",1,3,2,4
"477",2,"HT",1,"High",1,3,3,3
"478",2,"HT",1,"High",1,4,1,6
"479",2,"HT",1,"High",1,4,2,10
"480",2,"HT",1,"High",1,4,3,7
"481",2,"HT",1,"High",1,5,1,8
"482",2,"HT",1,"High",1,5,2,6
"483",2,"HT",1,"High",1,5,3,6
"484",2,"HT",1,"High",1,6,1,7
"485",2,"HT",1,"High",1,6,2,4
"486",2,"HT",1,"High",1,6,3,6
"487",2,"HT",2,"Low",1,1,1,3
"488",2,"HT",2,"Low",1,1,2,3
"489",2,"HT",2,"Low",1,1,3,2
"490",2,"HT",2,"Low",1,2,1,6
"491",2,"HT",2,"Low",1,2,2,5
"492",2,"HT",2,"Low",1,2,3,2
"493",2,"HT",2,"Low",1,3,1,3
"494",2,"HT",2,"Low",1,3,2,3
"495",2,"HT",2,"Low",1,3,3,4
"496",2,"HT",2,"Low",1,4,1,3
"497",2,"HT",2,"Low",1,4,2,2
"498",2,"HT",2,"Low",1,4,3,1
"499",2,"HT",2,"Low",1,5,1,4
"500",2,"HT",2,"Low",1,5,2,4
"501",2,"HT",2,"Low",1,5,3,1
"502",2,"HT",2,"Low",1,6,1,2
"503",2,"HT",2,"Low",1,6,2,2
"504",2,"HT",2,"Low",1,6,3,3
"505",2,"AMB",2,"High",3,1,1,29
"506",2,"AMB",2,"High",3,1,2,31
"507",2,"AMB",2,"High",3,1,3,27
"508",2,"AMB",2,"High",3,2,1,22
"509",2,"AMB",2,"High",3,2,2,23
"510",2,"AMB",2,"High",3,2,3,31
"511",2,"AMB",2,"High",3,3,1,23
"512",2,"AMB",2,"High",3,3,2,16
"513",2,"AMB",2,"High",3,3,3,15
"514",2,"AMB",2,"High",3,4,1,17
"515",2,"AMB",2,"High",3,4,2,13
"516",2,"AMB",2,"High",3,4,3,16
"517",2,"AMB",2,"High",3,5,1,30
"518",2,"AMB",2,"High",3,5,2,24
"519",2,"AMB",2,"High",3,5,3,30
"520",2,"AMB",2,"High",3,6,1,24
"521",2,"AMB",2,"High",3,6,2,28
"522",2,"AMB",2,"High",3,6,3,29
"523",2,"HT",2,"High",3,1,1,5
"524",2,"HT",2,"High",3,1,2,7
"525",2,"HT",2,"High",3,1,3,3
"526",2,"HT",2,"High",3,2,1,5
"527",2,"HT",2,"High",3,2,2,5
"528",2,"HT",2,"High",3,2,3,3
"529",2,"HT",2,"High",3,3,1,3
"530",2,"HT",2,"High",3,3,2,8
"531",2,"HT",2,"High",3,3,3,3
"532",2,"HT",2,"High",3,4,1,2
"533",2,"HT",2,"High",3,4,2,3
"534",2,"HT",2,"High",3,4,3,6
"535",2,"HT",2,"High",3,5,1,7
"536",2,"HT",2,"High",3,5,2,3
"537",2,"HT",2,"High",3,5,3,5
"538",2,"HT",2,"High",3,6,1,5
"539",2,"HT",2,"High",3,6,2,4
"540",2,"HT",2,"High",3,6,3,4
"541",2,"AMB",2,"Low",2,1,1,36
"542",2,"AMB",2,"Low",2,1,2,22
"543",2,"AMB",2,"Low",2,1,3,25
"544",2,"AMB",2,"Low",2,2,1,30
"545",2,"AMB",2,"Low",2,2,2,19
"546",2,"AMB",2,"Low",2,2,3,31
"547",2,"AMB",2,"Low",2,3,1,20
"548",2,"AMB",2,"Low",2,3,2,28
"549",2,"AMB",2,"Low",2,3,3,24
"550",2,"AMB",2,"Low",2,4,1,22
"551",2,"AMB",2,"Low",2,4,2,19
"552",2,"AMB",2,"Low",2,4,3,28
"553",2,"AMB",2,"Low",2,5,1,17
"554",2,"AMB",2,"Low",2,5,2,21
"555",2,"AMB",2,"Low",2,5,3,27
"556",2,"AMB",2,"Low",2,6,1,19
"557",2,"AMB",2,"Low",2,6,2,22
"558",2,"AMB",2,"Low",2,6,3,25
"559",2,"HT",1,"Low",1,1,1,9
"560",2,"HT",1,"Low",1,1,2,11
"561",2,"HT",1,"Low",1,1,3,11
"562",2,"HT",1,"Low",1,2,1,11
"563",2,"HT",1,"Low",1,2,2,4
