"","Day","Treatment","Tank","Date","Flow","Y_1","Y_2","Y_3"
"77",1,"AMB",2,"04.03.19","High",0.629,0.627333333333333,0.612333333333333
"78",3,"AMB",2,"06.03.19","High",0.582333333333333,0.578666666666667,0.574
"79",5,"AMB",2,"08.03.19","High",0.626666666666667,0.637333333333333,0.634333333333333
"80",6,"AMB",2,"09.03.19","High",0.601333333333333,0.575,0.612333333333333
"81",7,"AMB",2,"10.03.19","High",0.610666666666667,0.628666666666667,0.621666666666667
"82",1,"HT",1,"04.03.19","High",0.608333333333333,0.560333333333333,0.588333333333333
"83",3,"HT",1,"06.03.19","High",0.628666666666667,0.591,0.612333333333333
"84",5,"HT",1,"08.03.19","High",0.573333333333333,0.606,0.583
"85",6,"HT",1,"09.03.19","High",0.603333333333333,0.564333333333333,0.598
"86",7,"HT",1,"10.03.19","High",0.609333333333333,0.585,0.580333333333333
"87",1,"HT",2,"04.03.19","High",0.628,0.624,0.637333333333333
"88",3,"HT",2,"06.03.19","High",0.621,0.613333333333333,0.638
"89",6,"HT",2,"09.03.19","High",0.619666666666667,0.601666666666667,0.615
"90",7,"HT",2,"10.03.19","High",0.576333333333333,0.612,0.603666666666667
"91",8,"AMB",1,"11.03.19","High",0.54,0.534333333333333,0.516
"92",8,"AMB",2,"11.03.19","High",0.588666666666667,0.592,0.574333333333333
"93",8,"HT",1,"11.03.19","High",0.573333333333333,0.584,0.539666666666667
"94",8,"HT",2,"11.03.19","High",0.564333333333333,0.587666666666667,0.546666666666667
"95",9,"AMB",1,"12.03.19","High",0.602333333333333,0.536,0.579666666666667
"96",9,"AMB",2,"12.03.19","High",0.628333333333333,0.604333333333333,0.607
"97",9,"HT",1,"12.03.19","High",0.454666666666667,0.496666666666667,0.374666666666667
"98",9,"HT",2,"12.03.19","High",0.596666666666667,0.591666666666667,0.599
"99",10,"AMB",1,"13.03.19","High",0.56,0.542666666666667,0.556333333333333
"100",10,"AMB",2,"13.03.19","High",0.596,0.587,0.593
"101",10,"HT",1,"13.03.19","High",0.540666666666667,0.512,0.504333333333333
"102",10,"HT",2,"13.03.19","High",0.584666666666667,0.570666666666667,0.578666666666667
"103",11,"AMB",1,"14.03.19","High",0.584333333333333,0.572333333333333,0.581333333333333
